sex,age,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,internet,freetime,health,absences,graduated
M,16,mother,1,4,0,no,no,no,yes,2,2,4,yes
M,15,mother,1,2,0,no,yes,yes,no,3,5,2,yes
F,15,father,1,2,1,yes,yes,no,yes,4,3,2,no
F,16,mother,3,2,0,no,yes,yes,yes,3,4,2,yes
F,15,mother,1,2,0,no,yes,yes,yes,3,5,2,yes
M,15,father,2,1,1,no,no,no,no,5,5,6,yes
F,15,mother,1,1,0,yes,yes,yes,yes,3,5,0,yes
F,15,mother,1,1,0,no,no,yes,yes,3,1,6,yes
F,16,mother,1,2,0,no,no,yes,yes,3,2,8,yes
F,15,mother,1,2,0,no,yes,yes,yes,3,1,0,yes
M,15,mother,1,2,0,no,yes,no,no,2,5,4,yes
M,15,father,1,2,0,yes,yes,no,yes,3,5,2,no
F,16,mother,1,2,0,no,yes,no,yes,2,5,2,yes
F,16,mother,1,2,0,no,yes,no,no,4,4,6,yes
F,16,father,4,1,0,yes,yes,no,yes,5,5,6,yes
F,16,father,1,2,0,yes,no,no,yes,4,1,4,no
F,16,mother,1,3,0,yes,yes,yes,yes,4,4,2,no
F,15,father,1,2,0,yes,no,no,yes,4,2,0,yes
F,16,mother,3,2,0,no,yes,no,yes,4,1,2,yes
M,15,mother,1,4,0,no,yes,no,yes,3,3,4,yes
F,16,mother,1,4,0,yes,yes,yes,yes,3,5,4,no
F,15,mother,2,2,0,yes,yes,yes,yes,1,4,2,no
F,15,father,2,4,0,no,yes,no,yes,4,3,12,yes
M,16,father,2,4,0,no,yes,yes,yes,3,5,0,yes
M,15,mother,1,4,0,no,no,no,yes,3,3,0,yes
F,15,mother,1,2,2,yes,yes,no,yes,3,5,2,no
M,16,mother,1,1,0,no,no,no,no,3,5,2,yes
F,16,mother,1,2,0,yes,yes,yes,yes,3,5,54,yes
M,15,mother,1,2,0,no,yes,yes,yes,3,5,6,yes
M,15,mother,2,4,0,no,no,no,yes,4,1,8,yes
F,16,mother,1,4,0,no,no,yes,yes,2,3,0,yes
M,17,mother,2,1,3,yes,yes,no,yes,5,3,2,yes
F,16,mother,1,2,0,no,yes,no,yes,4,3,12,no
M,15,father,1,1,0,yes,yes,yes,yes,2,3,2,yes
M,15,mother,1,3,0,yes,no,yes,yes,3,5,4,yes
F,15,mother,1,2,0,no,yes,yes,yes,4,5,10,no
M,15,mother,2,2,0,no,no,yes,yes,3,4,4,yes
F,15,father,1,2,0,no,yes,no,yes,3,4,2,yes
F,15,father,2,2,2,no,no,yes,yes,4,5,6,no
F,16,mother,1,2,0,no,yes,no,no,3,2,4,no
F,15,mother,1,3,0,no,yes,no,yes,3,1,4,yes
M,16,father,2,2,1,no,no,yes,yes,4,3,12,yes
M,16,mother,1,2,0,no,yes,no,no,1,5,18,no
F,16,mother,1,3,0,no,yes,yes,yes,3,4,0,no
F,15,mother,1,1,0,no,no,yes,yes,5,1,4,yes
F,16,father,1,2,0,yes,yes,no,no,3,2,4,no
F,16,mother,2,2,0,no,yes,yes,yes,3,1,0,yes
M,15,mother,1,4,0,no,yes,no,yes,3,4,6,yes
F,15,mother,2,4,1,yes,yes,yes,yes,1,1,2,yes
M,16,mother,2,1,0,yes,yes,no,yes,3,4,2,yes
F,16,mother,1,2,0,no,yes,yes,no,3,5,2,yes
F,16,mother,1,1,0,no,no,no,yes,3,1,6,yes
F,16,mother,1,3,0,yes,yes,yes,yes,3,3,0,no
M,16,mother,1,1,0,yes,yes,yes,yes,5,4,14,no
M,16,father,1,3,0,no,yes,no,yes,4,4,0,yes
M,15,mother,1,1,0,no,yes,no,yes,3,5,4,yes
F,15,mother,2,2,0,yes,yes,yes,yes,3,2,26,no
M,15,mother,1,2,0,no,yes,yes,yes,4,1,0,yes
F,15,father,1,4,0,yes,no,no,no,3,4,10,yes
F,15,mother,1,4,0,yes,yes,yes,yes,1,3,8,no
M,16,father,1,3,0,no,yes,no,yes,3,5,2,yes
M,15,father,4,4,0,no,yes,yes,yes,3,1,6,yes
F,16,mother,1,3,0,no,yes,yes,yes,4,4,4,yes
M,15,mother,1,1,0,no,no,no,yes,5,4,6,yes
F,16,father,1,3,1,yes,yes,no,yes,1,2,0,yes
F,16,mother,1,2,1,yes,no,no,yes,1,5,6,yes
M,15,mother,1,1,0,no,no,no,yes,5,3,10,yes
M,15,mother,1,2,0,no,no,no,yes,4,5,8,no
M,16,father,1,2,0,no,yes,no,yes,4,5,2,yes
M,15,father,2,2,0,no,yes,no,no,4,2,2,yes
M,16,father,2,1,0,no,no,no,yes,4,5,0,yes
M,17,father,3,2,1,no,yes,no,yes,2,5,20,no
M,15,father,1,1,0,no,no,no,yes,4,4,6,yes
F,15,mother,1,2,0,no,no,no,yes,2,1,2,yes
M,15,father,1,4,0,no,yes,yes,yes,5,5,6,yes
F,16,father,2,2,0,no,yes,yes,yes,2,5,2,yes
M,16,mother,1,1,0,no,yes,no,yes,4,5,18,yes
F,16,mother,1,2,0,no,no,yes,yes,4,5,0,no
M,15,father,1,1,0,yes,no,no,yes,5,5,0,yes
F,15,mother,1,2,0,yes,no,no,yes,3,1,0,yes
F,19,other,1,2,3,no,yes,no,no,4,5,2,no
M,18,mother,1,1,2,no,yes,no,yes,3,4,0,no
M,16,mother,1,1,0,no,no,yes,yes,5,4,8,yes
F,15,father,2,3,2,no,yes,no,yes,2,5,0,no
F,15,mother,3,1,0,no,yes,no,yes,3,4,0,no
F,17,father,1,1,0,no,yes,no,yes,4,5,12,yes
F,16,father,1,1,0,no,no,no,yes,2,5,16,yes
M,15,mother,4,2,0,no,yes,no,no,3,5,0,no
F,15,mother,1,3,0,no,yes,no,yes,3,5,0,no
M,17,mother,3,2,0,no,no,no,no,4,5,0,no
F,16,other,2,1,2,no,yes,no,yes,3,5,0,no
M,16,mother,1,2,1,no,no,no,no,4,5,0,yes
F,15,mother,2,1,0,no,no,no,yes,3,5,0,yes
M,15,father,2,4,0,yes,yes,no,yes,2,3,0,no
M,16,father,2,1,2,no,yes,no,yes,3,2,8,no
F,15,mother,1,3,0,no,yes,yes,yes,2,5,2,yes
F,16,mother,1,1,0,no,no,no,yes,4,1,2,yes
M,17,mother,1,1,3,no,yes,no,yes,4,5,0,no
F,15,father,1,2,0,no,yes,yes,yes,4,5,0,yes
F,15,father,1,2,3,no,yes,no,yes,3,3,0,no
F,15,mother,1,2,0,no,yes,yes,yes,3,5,2,yes
M,16,mother,1,1,0,no,yes,no,yes,3,5,0,no
M,15,mother,4,1,3,no,no,no,yes,5,5,0,yes
M,18,mother,1,1,3,no,no,no,yes,3,4,0,no
M,16,mother,1,1,1,no,no,no,no,4,5,6,yes
F,15,other,2,3,2,no,yes,yes,yes,2,3,8,yes
M,19,mother,1,1,3,no,yes,no,yes,5,4,0,no
F,17,mother,1,1,0,yes,yes,no,no,2,4,0,yes
M,15,mother,1,2,0,yes,no,yes,no,4,1,2,no
M,17,mother,1,1,0,no,no,no,no,2,5,8,yes
F,18,mother,3,1,3,no,yes,no,no,2,4,6,yes
M,16,mother,3,1,0,no,no,no,no,2,3,2,yes
M,16,father,1,2,1,no,yes,yes,yes,5,5,4,yes
M,17,mother,2,1,2,no,no,no,yes,3,5,0,no
M,15,mother,2,2,2,yes,yes,no,yes,4,3,6,no
M,16,mother,2,1,1,no,no,no,no,4,5,0,no
M,17,father,1,1,0,no,no,no,yes,3,2,2,yes
M,17,mother,4,2,3,no,no,no,no,3,5,0,no
M,16,mother,2,1,1,no,yes,no,no,5,2,16,yes
M,16,father,1,2,0,no,no,no,yes,3,4,4,yes
F,16,father,1,2,0,no,no,yes,yes,2,3,0,yes
F,16,mother,1,2,0,no,yes,yes,yes,1,4,0,no
F,16,mother,1,2,0,no,yes,yes,yes,4,3,0,yes
M,16,father,3,1,2,no,yes,no,yes,4,2,0,no
M,16,mother,2,2,0,no,yes,yes,yes,3,3,2,yes
M,17,mother,1,2,0,no,yes,yes,yes,4,5,0,yes
F,16,mother,1,2,3,no,no,no,yes,3,3,0,no
F,16,mother,2,2,0,no,yes,yes,yes,4,4,4,no
M,17,mother,2,2,0,no,no,yes,yes,4,4,4,no
F,16,mother,2,2,0,no,no,yes,yes,4,5,2,yes
M,17,father,1,2,0,no,no,no,yes,3,4,4,no
M,16,mother,1,1,0,no,yes,no,yes,3,3,10,no
M,17,mother,1,2,0,no,yes,no,yes,2,2,4,yes
M,16,mother,1,2,0,no,yes,yes,yes,4,3,10,no
M,16,mother,1,2,0,no,no,yes,yes,2,3,2,yes
F,17,father,1,2,0,no,yes,no,no,4,5,0,yes
F,17,mother,1,2,0,no,yes,no,yes,3,1,56,no
F,16,mother,1,2,0,no,yes,yes,yes,2,1,14,yes
M,17,mother,1,2,0,no,yes,no,yes,3,4,12,yes
M,16,mother,1,1,0,no,yes,yes,yes,3,3,2,yes
M,16,mother,1,2,0,no,no,yes,yes,2,5,0,yes
F,17,mother,1,2,0,no,yes,no,yes,3,3,6,no
M,17,mother,1,2,0,no,no,no,no,1,3,4,yes
F,16,mother,1,2,0,no,no,no,yes,3,2,10,yes
F,17,mother,1,2,0,no,no,no,yes,3,3,0,no
M,17,other,2,2,0,no,no,yes,yes,4,5,12,no
M,16,mother,1,1,0,no,yes,no,yes,3,5,8,yes
M,16,father,2,1,0,no,no,no,yes,3,3,0,yes
F,17,father,1,2,0,no,no,no,yes,3,5,0,yes
M,17,mother,1,1,0,no,no,no,yes,2,5,4,yes
M,16,father,3,1,0,no,yes,yes,yes,3,3,8,yes
F,17,mother,2,1,1,no,yes,no,yes,2,2,24,yes
F,16,mother,1,2,0,no,yes,yes,yes,5,3,0,yes
F,16,mother,1,2,0,no,yes,no,yes,3,2,2,yes
F,16,mother,1,2,0,yes,yes,yes,no,4,4,6,yes
F,17,mother,1,2,0,no,yes,yes,no,4,1,4,yes
F,17,mother,1,1,0,no,yes,no,yes,3,3,18,no
F,16,mother,2,4,0,no,yes,yes,yes,3,5,6,yes
F,17,mother,1,3,1,no,yes,yes,yes,4,5,28,no
F,16,mother,1,2,3,no,yes,yes,yes,3,4,5,no
F,16,mother,1,2,0,no,no,yes,yes,3,1,10,yes
F,16,mother,2,1,0,no,yes,yes,no,3,5,6,yes
F,17,mother,2,3,0,no,yes,yes,yes,4,4,6,no
F,19,other,1,4,0,no,yes,yes,yes,3,3,10,no
M,17,mother,1,2,0,no,yes,yes,yes,3,3,13,yes
F,16,mother,1,2,0,yes,yes,yes,yes,3,4,0,yes
M,18,mother,1,2,1,no,yes,yes,yes,4,5,15,no
F,17,mother,1,1,0,no,yes,yes,no,2,3,12,yes
F,17,mother,2,2,0,no,no,yes,yes,4,1,2,yes
F,17,mother,1,2,2,no,no,yes,yes,4,1,22,no
M,18,father,1,2,1,no,yes,yes,yes,2,4,13,no
F,17,father,2,1,0,no,yes,yes,no,3,3,3,no
F,17,mother,1,3,0,no,yes,yes,yes,3,4,4,yes
F,17,mother,2,2,0,no,yes,no,yes,2,5,2,no
F,17,mother,1,3,1,no,yes,no,no,3,5,0,no
F,16,mother,1,2,0,yes,no,no,yes,3,3,2,yes
M,18,mother,2,2,0,no,yes,yes,yes,3,4,0,yes
F,16,mother,1,3,0,no,yes,no,yes,3,5,0,yes
F,18,mother,1,2,1,no,no,no,yes,3,4,16,no
F,17,mother,1,2,0,no,no,no,yes,3,3,10,yes
M,17,father,1,2,0,no,yes,yes,yes,3,3,2,yes
M,18,mother,4,2,0,yes,yes,yes,yes,3,3,14,no
F,17,mother,2,3,0,no,no,no,yes,2,3,10,yes
F,17,father,1,2,0,no,no,no,yes,2,3,14,yes
M,17,father,2,2,0,no,yes,yes,yes,5,1,4,yes
M,17,mother,1,2,0,yes,yes,no,yes,5,2,14,no
M,16,father,1,2,0,no,yes,yes,yes,2,1,2,yes
M,16,mother,2,2,0,no,yes,yes,yes,4,5,18,no
M,16,mother,2,3,0,no,no,no,yes,3,2,10,yes
M,17,father,1,2,0,no,no,yes,yes,4,4,4,yes
F,16,mother,1,1,0,no,no,no,yes,5,5,20,yes
F,17,mother,3,2,0,no,no,no,no,1,3,2,yes
M,18,father,1,2,1,no,no,no,yes,5,2,0,no
M,17,mother,2,2,0,no,no,no,yes,5,5,14,yes
M,17,mother,2,2,0,no,yes,yes,yes,3,4,2,yes
M,16,mother,1,1,0,no,no,no,yes,4,3,0,no
M,16,mother,1,1,0,no,no,no,yes,3,5,0,yes
F,18,other,2,3,0,no,yes,yes,yes,4,3,0,no
M,16,mother,3,1,0,no,no,no,yes,3,4,6,yes
M,17,father,2,1,0,no,no,no,yes,2,2,4,yes
M,22,mother,1,1,3,no,no,no,yes,4,1,16,no
M,18,mother,1,2,1,no,yes,no,yes,3,5,8,no
M,16,mother,1,1,0,no,no,yes,yes,3,5,0,yes
M,18,mother,2,1,1,no,no,no,yes,4,5,0,no
M,16,other,3,2,0,yes,yes,no,yes,3,2,6,yes
M,18,mother,1,1,1,no,no,no,yes,2,5,4,no
M,16,mother,2,1,0,no,no,no,no,3,3,0,no
M,17,mother,1,1,0,no,no,no,yes,4,5,0,yes
M,17,mother,2,1,1,no,yes,no,yes,4,5,2,no
F,17,mother,1,4,0,no,yes,yes,yes,2,4,6,yes
M,19,mother,1,2,0,no,yes,no,yes,3,1,12,yes
M,18,mother,1,2,0,no,no,no,yes,2,4,8,yes
F,17,father,1,4,0,no,no,yes,yes,4,2,0,no
F,18,father,1,2,0,no,yes,yes,yes,1,2,21,yes
M,18,mother,1,2,0,no,yes,yes,yes,3,3,2,no
M,18,mother,1,3,0,no,no,no,no,3,3,1,yes
F,17,mother,1,3,0,no,no,no,no,2,4,4,no
F,18,mother,1,3,0,no,yes,yes,yes,3,3,0,no
M,18,mother,2,2,0,no,yes,yes,yes,2,1,13,yes
M,17,mother,1,2,0,no,no,yes,yes,4,5,2,yes
F,18,mother,2,2,0,no,no,yes,yes,3,4,8,yes
M,18,father,1,2,0,no,yes,yes,yes,4,5,10,yes
F,18,mother,2,2,0,no,yes,no,yes,3,3,0,no
F,19,other,1,2,2,no,yes,yes,yes,3,5,15,no
F,18,father,1,4,0,no,yes,yes,yes,5,2,4,yes
F,18,mother,2,2,0,no,yes,yes,no,4,3,2,yes
M,17,mother,1,2,0,no,yes,yes,no,5,1,2,yes
F,17,mother,2,2,0,no,yes,yes,yes,3,1,2,yes
F,17,mother,2,2,0,yes,yes,yes,yes,4,5,6,yes
F,18,mother,2,2,0,no,no,no,yes,1,5,75,no
M,18,mother,2,1,0,no,no,yes,yes,2,3,22,no
F,18,father,1,2,1,yes,yes,no,yes,4,4,15,no
M,18,mother,2,1,0,no,no,yes,yes,2,1,8,yes
M,17,mother,2,1,0,no,no,yes,yes,5,5,30,no
M,17,mother,1,1,1,no,no,no,yes,4,3,19,yes
F,18,mother,2,4,0,no,yes,yes,no,2,3,1,yes
F,18,mother,2,2,0,yes,no,no,yes,4,4,4,yes
F,17,mother,1,2,0,no,yes,no,yes,4,5,4,yes
M,17,father,1,2,0,no,no,yes,yes,3,4,2,yes
F,18,mother,1,3,0,no,yes,yes,yes,3,2,5,yes
F,17,mother,1,3,0,no,yes,yes,yes,3,3,6,yes
M,18,mother,1,3,0,no,no,yes,yes,2,2,6,yes
M,18,mother,1,2,0,no,yes,yes,yes,4,2,9,yes
M,18,mother,1,2,0,no,yes,yes,yes,3,5,11,yes
F,17,mother,1,3,0,no,yes,yes,yes,2,3,0,yes
F,18,mother,1,2,1,no,no,no,yes,4,5,12,yes
F,17,mother,2,4,0,no,yes,yes,no,1,3,6,yes
M,18,mother,2,3,0,no,yes,yes,yes,4,4,8,yes
M,17,mother,1,1,0,no,yes,yes,yes,4,5,4,yes
F,19,other,2,2,0,no,yes,yes,yes,3,2,0,no
F,18,other,2,2,0,no,yes,yes,yes,4,2,10,no
F,18,father,1,4,0,no,yes,yes,yes,3,3,0,yes
M,18,mother,1,1,0,no,yes,yes,yes,4,1,5,yes
F,18,mother,1,2,0,no,yes,no,yes,2,4,14,yes
M,17,father,2,1,0,no,no,yes,yes,1,5,0,yes
F,17,mother,2,3,0,no,yes,yes,yes,3,3,0,yes
F,17,father,1,4,0,no,yes,yes,yes,2,5,0,yes
M,19,other,1,2,1,no,yes,no,yes,4,3,20,yes
F,18,other,1,2,1,no,yes,yes,yes,4,3,8,yes
M,20,other,1,1,0,no,no,no,no,5,5,0,yes
M,19,other,2,1,1,no,yes,yes,yes,3,4,38,no
M,19,father,1,2,1,no,no,no,no,5,5,0,yes
F,19,other,1,2,1,yes,yes,no,yes,4,3,18,yes
F,19,other,1,2,1,no,no,no,no,2,3,0,no
F,19,other,3,2,0,no,yes,no,yes,4,2,20,yes
M,19,other,1,2,1,no,no,no,yes,5,4,3,yes
F,19,other,2,2,1,no,yes,yes,yes,2,1,22,yes
F,19,other,1,3,2,no,no,no,yes,1,3,14,yes
F,19,other,1,3,1,no,no,no,yes,1,3,40,yes
F,18,mother,2,2,0,no,yes,yes,yes,3,1,0,no
F,18,mother,1,3,0,no,yes,yes,yes,3,5,9,no
F,17,father,1,3,0,no,yes,yes,yes,3,5,0,yes
F,18,mother,1,2,0,no,yes,yes,yes,4,5,2,yes
F,17,mother,1,2,0,no,yes,yes,yes,2,5,23,yes
F,17,mother,1,2,0,no,yes,no,no,2,3,12,no
F,17,mother,1,3,0,no,yes,yes,yes,3,3,3,yes
F,17,father,1,3,0,no,yes,no,yes,4,5,1,yes
F,17,father,2,3,0,no,no,no,yes,3,2,0,yes
M,18,mother,1,3,0,no,no,no,yes,3,3,3,yes
M,17,mother,1,1,0,no,no,no,yes,3,5,3,yes
M,17,mother,4,1,0,no,yes,no,yes,4,4,8,yes
F,17,mother,1,3,0,no,yes,yes,yes,4,4,7,no
F,17,mother,2,3,0,no,yes,yes,yes,3,4,4,yes
M,18,mother,1,4,0,no,yes,no,yes,5,5,2,no
F,17,father,1,3,0,no,yes,no,yes,4,5,7,yes
F,18,mother,1,2,0,no,no,no,yes,3,4,0,no
F,18,other,1,2,0,no,no,no,yes,3,2,0,no
F,18,mother,2,4,0,no,no,no,no,4,4,0,no
F,17,mother,1,3,0,no,no,no,yes,4,5,16,yes
F,19,other,1,3,1,no,no,yes,no,4,5,12,yes
F,17,mother,1,2,0,no,yes,yes,yes,3,2,0,no
F,18,mother,1,4,0,no,yes,no,yes,3,1,7,yes
F,17,mother,1,2,0,no,yes,yes,yes,3,2,4,yes
F,19,other,1,3,1,no,no,yes,yes,3,3,4,yes
M,18,father,1,2,1,no,yes,no,yes,3,2,0,no
M,18,mother,1,2,0,no,no,no,yes,3,5,11,yes
F,17,father,1,2,1,no,yes,no,yes,3,4,0,no
F,18,mother,1,3,0,no,yes,no,yes,3,3,4,yes
F,18,mother,1,3,0,no,no,no,yes,4,1,7,yes
M,18,mother,1,3,0,no,no,no,yes,3,4,9,yes
M,18,mother,1,3,0,no,yes,yes,yes,4,5,0,no
F,17,mother,1,3,0,no,yes,yes,yes,4,4,0,yes
M,18,mother,2,1,1,no,yes,no,yes,5,5,10,yes
M,19,other,3,2,3,no,no,no,yes,4,2,8,no
M,17,mother,2,2,0,no,yes,yes,yes,5,3,2,yes
M,18,mother,1,1,1,no,no,no,yes,3,3,7,no
M,19,other,3,1,1,no,yes,no,yes,4,5,4,no
M,17,mother,2,2,0,no,yes,yes,yes,5,2,4,yes
F,18,father,1,2,0,no,yes,no,no,3,5,0,no
F,17,father,2,2,0,no,yes,yes,yes,3,5,4,yes
F,17,mother,2,2,0,no,no,no,no,2,5,2,yes
M,18,father,2,1,0,no,no,no,yes,3,3,4,yes
F,18,father,2,3,0,no,no,no,yes,3,4,0,yes
F,18,mother,3,2,0,no,no,no,no,3,5,0,yes
M,18,mother,2,2,1,no,no,no,no,4,5,2,yes
F,18,mother,2,2,0,no,yes,no,yes,3,3,0,yes
F,17,mother,1,2,0,no,yes,yes,yes,3,1,0,yes
F,17,father,2,2,0,no,no,no,no,2,3,0,yes
M,18,mother,2,2,0,no,yes,yes,no,3,3,4,yes
M,18,mother,2,3,0,no,no,yes,yes,2,5,0,yes
F,17,mother,3,1,1,no,yes,yes,yes,2,1,0,no
F,18,father,2,1,0,no,yes,yes,yes,2,4,0,yes
F,18,father,3,2,0,no,yes,yes,yes,2,5,10,yes
F,19,other,2,2,2,no,no,no,no,2,3,4,no
M,18,father,3,1,0,no,yes,yes,yes,3,3,3,yes
F,17,mother,1,3,0,no,no,no,no,4,3,8,yes
F,17,mother,1,1,0,no,no,no,yes,5,1,14,no
F,18,mother,2,3,0,no,no,no,yes,4,1,0,yes
F,18,mother,4,3,0,no,no,no,yes,3,4,2,yes
F,20,other,2,3,2,no,yes,yes,yes,4,3,4,yes
F,18,mother,1,2,0,no,no,yes,yes,4,2,4,yes
F,18,mother,1,2,0,no,no,yes,yes,1,1,0,yes
F,17,mother,1,2,0,no,yes,yes,yes,5,1,17,yes
M,18,father,1,2,0,no,no,yes,yes,2,2,4,yes
M,18,mother,2,1,0,no,no,no,yes,4,5,5,no
M,17,father,2,2,0,no,no,no,yes,4,3,2,yes
M,19,mother,2,1,1,no,no,no,no,3,5,0,no
M,18,father,2,1,1,no,no,yes,no,4,3,14,no
F,18,mother,2,3,0,no,no,yes,no,3,4,2,yes
F,18,mother,3,1,0,no,yes,yes,yes,4,5,7,no
F,19,mother,1,3,1,no,no,no,yes,4,5,0,no
F,18,mother,1,2,0,no,yes,yes,yes,3,1,0,no
F,18,mother,2,2,1,no,no,no,no,1,5,0,no
M,20,other,1,2,2,no,yes,yes,no,5,4,11,no
M,17,mother,2,1,0,no,no,no,yes,4,2,3,yes
M,21,other,1,1,3,no,no,no,no,5,3,3,no
M,18,mother,3,1,0,no,no,no,yes,4,5,0,yes
M,19,father,1,1,0,no,no,no,yes,2,5,5,no
